kBf=2280.15,kBr=0.046709999999999995,kcatE=5.328,kdEf=0.1958,kdEr=83.6,kdp=367.78000000000003,kdpERK=1.6211,kdpMEK=4.317950000000001,kdpR1=28.1,kdpSOS=0.037211,kdR1f=1.9012499999999999,kdR1r=22.27,kEf=116875.0,kEr=3.24,kfpBr=15.960000000000003,kfpR1r=0.10300000000000001,kG2f=3.2600000000000002,kG2r=14485.5,kG2SOSf=0.9842,kG2SOSr=424.08,kiBf=1.2877e-12,kiBr=5.382,kiR1f=1.258e-5,kiR1r=1.2760000000000002,Kmgneslow=216300.0,knfpBR1=3.52425e-12,knfpiBr=14.28,knfpiR1r=0.10787999999999999,knfpSOS=3.332e-5,kpERK=2.2619999999999997e-6,kpMEK=0.00037365,kpR1=4236.5,kR1f=0.00025652499999999996,kR1r=313.26,kRgneslow=4.3125,kRhydro=0.2439,kSoff=48.832,kSon=149.99,kSOSf=0.00048024000000000005,kSOSr=16.426
kBf=4588.45,kBr=0.11158499999999998,kcatE=66.267,kdEf=3.3286,kdEr=53.96,kdp=328.93000000000006,kdpERK=3.1668,kdpMEK=2.6572000000000005,kdpR1=154.55,kdpSOS=0.041899,kdR1f=1.31625,kdR1r=22.924999999999997,kEf=102500.0,kEr=73.44,kfpBr=6.118000000000001,kfpR1r=0.31518,kG2f=3.0644000000000005,kG2r=7992.0,kG2SOSf=0.97125,kG2SOSr=188.48000000000002,kiBf=2.3700000000000003e-14,kiBr=4.212,kiR1f=2.8860000000000004e-6,kiR1r=2.068,Kmgneslow=443415.0,knfpBR1=3.3147000000000004e-12,knfpiBr=16.830000000000002,knfpiR1r=0.15572999999999998,knfpSOS=4.351199999999999e-5,kpERK=8.989999999999999e-6,kpMEK=0.0014866499999999997,kpR1=916.0,kR1f=0.00010260999999999997,kR1r=181.6,kRgneslow=14.95,kRhydro=2.6287,kSoff=63.22,kSon=140.085,kSOSf=0.0005244,kSOSr=17.0945
kBf=4757.35,kBr=0.13321,kcatE=58.275,kdEf=3.27965,kdEr=149.72,kdp=77.70000000000002,kdpERK=2.84635,kdpMEK=1.09865,kdpR1=143.31,kdpSOS=0.00586,kdR1f=3.705,kdR1r=18.34,kEf=10625.0,kEr=18.36,kfpBr=47.879999999999995,kfpR1r=0.0206,kG2f=4.824800000000001,kG2r=9324.0,kG2SOSf=2.1367499999999997,kG2SOSr=444.695,kiBf=1.2166e-12,kiBr=12.324000000000002,kiR1f=7.844e-6,kiR1r=0.9460000000000002,Kmgneslow=299215.0,knfpBR1=1.6383e-12,knfpiBr=13.77,knfpiR1r=0.07830000000000001,knfpSOS=5.1744e-5,kpERK=1.0092e-5,kpMEK=0.00077115,kpR1=14312.5,kR1f=0.00020687499999999997,kR1r=631.0600000000001,kRgneslow=48.3,kRhydro=0.06775,kSoff=36.624,kSon=183.95000000000002,kSOSf=0.0001932,kSOSr=7.544499999999999
kBf=1238.6,kBr=0.16694499999999998,kcatE=3.9959999999999996,kdEf=9.74105,kdEr=109.44,kdp=259.00000000000006,kdpERK=2.7898,kdpMEK=1.45635,kdpR1=261.33,kdpSOS=0.048345,kdR1f=3.1687499999999997,kdR1r=108.075,kEf=7500.0,kEr=102.6,kfpBr=13.034,kfpR1r=0.25544000000000006,kG2f=0.32600000000000007,kG2r=31635.0,kG2SOSf=2.55115,kG2SOSr=518.3199999999999,kiBf=3.16e-13,kiBr=8.502,kiR1f=5.772000000000001e-6,kiR1r=2.09,Kmgneslow=666925.0,knfpBR1=3.3528000000000004e-12,knfpiBr=9.69,knfpiR1r=0.022619999999999998,knfpSOS=7.7616e-5,kpERK=1.1135999999999998e-5,kpMEK=0.0015343499999999999,kpR1=9847.0,kR1f=0.00032603499999999996,kR1r=789.96,kRgneslow=21.562499999999996,kRhydro=1.31435,kSoff=63.656,kSon=66.50500000000001,kSOSf=0.00037812,kSOSr=12.797
kBf=2815.0,kBr=0.009515,kcatE=36.629999999999995,kdEf=1.9580000000000002,kdEr=116.27999999999999,kdp=339.2900000000001,kdpERK=2.24315,kdpMEK=2.88715,kdpR1=39.34,kdpSOS=0.001758,kdR1f=5.31375,kdR1r=9.17,kEf=5625.0,kEr=137.16,kfpBr=6.65,kfpR1r=0.1957,kG2f=1.4018000000000002,kG2r=15484.5,kG2SOSf=2.072,kG2SOSr=58.9,kiBf=8.216000000000001e-13,kiBr=12.558,kiR1f=1.4504e-5,kiR1r=0.9020000000000002,Kmgneslow=382130.0,knfpBR1=5.9055e-13,knfpiBr=73.95,knfpiR1r=0.12788999999999998,knfpSOS=4.0375999999999994e-5,kpERK=1.0323999999999998e-5,kpMEK=0.0009460499999999999,kpR1=4923.5,kR1f=0.00015225999999999998,kR1r=426.76,kRgneslow=52.037499999999994,kRhydro=0.9756,kSoff=54.936,kSon=200.93000000000004,kSOSf=8.28e-6,kSOSr=13.943
kBf=619.3,kBr=0.15916,kcatE=38.961,kdEf=5.62925,kdEr=90.44,kdp=41.440000000000005,kdpERK=1.67765,kdpMEK=0.4599000000000001,kdpR1=71.655,kdpSOS=0.055963000000000006,kdR1f=4.9725,kdR1r=115.935,kEf=83750.0,kEr=63.72,kfpBr=13.832000000000003,kfpR1r=0.09064000000000001,kG2f=5.868,kG2r=33300.0,kG2SOSf=1.3467999999999998,kG2SOSr=265.05,kiBf=9.006000000000001e-13,kiBr=6.5520000000000005,kiR1f=3.1080000000000006e-6,kiR1r=1.1990000000000003,Kmgneslow=79310.0,knfpBR1=3.56235e-12,knfpiBr=84.15,knfpiR1r=0.14442,knfpSOS=7.6832e-5,kpERK=9.802e-6,kpMEK=0.0012878999999999998,kpR1=14198.0,kR1f=0.00022011499999999998,kR1r=581.12,kRgneslow=17.825,kRhydro=0.7317000000000001,kSoff=59.29600000000001,kSon=188.19500000000002,kSOSf=0.00021252,kSOSr=7.830999999999999
kBf=4926.25,kBr=0.13061499999999998,kcatE=65.601,kdEf=1.5664,kdEr=38.76,kdp=217.56000000000003,kdpERK=0.65975,kdpMEK=5.11,kdpR1=214.965,kdpSOS=0.051861000000000004,kdR1f=5.99625,kdR1r=120.52,kEf=40625.0,kEr=10.8,kfpBr=30.324000000000005,kfpR1r=0.08857999999999999,kG2f=6.422200000000001,kG2r=13653.0,kG2SOSf=1.17845,kG2SOSr=571.3299999999999,kiBf=8.769e-13,kiBr=14.820000000000002,kiR1f=1.2654000000000001e-5,kiR1r=1.6390000000000002,Kmgneslow=562380.0,knfpBR1=1.65735e-12,knfpiBr=98.94,knfpiR1r=0.07047,knfpSOS=1.1368e-5,kpERK=2.8419999999999996e-6,kpMEK=0.0005883,kpR1=14999.5,kR1f=0.00021680499999999995,kR1r=458.54,kRgneslow=43.125,kRhydro=1.7072999999999998,kSoff=33.572,kSon=266.02,kSOSf=0.0002208,kSOSr=1.528
kBf=5432.95,kBr=0.029409999999999995,kcatE=16.65,kdEf=4.55235,kdEr=15.959999999999999,kdp=349.6500000000001,kdpERK=2.31855,kdpMEK=1.20085,kdpR1=279.595,kdpSOS=0.050982,kdR1f=1.8525,kdR1r=15.065,kEf=26875.0,kEr=158.76,kfpBr=5.32,kfpR1r=0.01442,kG2f=3.4556,kG2r=26140.5,kG2SOSf=0.09065000000000001,kG2SOSr=70.68,kiBf=1.2561e-12,kiBr=7.566,kiR1f=7.104000000000001e-6,kiR1r=1.1550000000000002,Kmgneslow=115360.0,knfpBR1=3.4671000000000004e-12,knfpiBr=9.18,knfpiR1r=0.11919,knfpSOS=2.8224e-5,kpERK=1.682e-6,kpMEK=5.565e-5,kpR1=10190.5,kR1f=2.317e-5,kR1r=390.44,kRgneslow=31.624999999999996,kRhydro=0.39295,kSoff=80.224,kSon=48.11,kSOSf=0.00044160000000000005,kSOSr=3.6289999999999996
kBf=4869.95,kBr=0.09428499999999998,kcatE=15.318,kdEf=0.34264999999999995,kdEr=50.16,kdp=147.63000000000002,kdpERK=1.90385,kdpMEK=1.3541500000000002,kdpR1=175.62500000000003,kdpSOS=0.022268,kdR1f=0.6825,kdR1r=129.035,kEf=55000.0,kEr=186.84,kfpBr=10.108,kfpR1r=0.33372,kG2f=5.3790000000000004,kG2r=32467.5,kG2SOSf=2.4863999999999997,kG2SOSr=294.5,kiBf=1.5010000000000002e-12,kiBr=6.942,kiR1f=1.4356000000000001e-5,kiR1r=2.189,Kmgneslow=75705.0,knfpBR1=3.429e-12,knfpiBr=12.75,knfpiR1r=0.10527000000000002,knfpSOS=6.232799999999999e-5,kpERK=7.946e-6,kpMEK=0.0012163499999999997,kpR1=11564.5,kR1f=0.00021183999999999998,kR1r=667.38,kRgneslow=6.6125,kRhydro=2.42545,kSoff=37.932,kSon=181.12000000000003,kSOSf=0.0004692,kSOSr=2.1009999999999995
kBf=1886.05,kBr=0.07871499999999998,kcatE=46.952999999999996,kdEf=1.1748,kdEr=75.24,kdp=435.12000000000006,kdpERK=2.43165,kdpMEK=4.1902,kdpR1=257.115,kdpSOS=0.051275,kdR1f=5.41125,kdR1r=46.505,kEf=77500.0,kEr=106.91999999999999,kfpBr=35.378,kfpR1r=0.04944,kG2f=3.6512000000000002,kG2r=14985.0,kG2SOSf=1.2432,kG2SOSr=515.375,kiBf=1.2640000000000003e-12,kiBr=3.8220000000000005,kiR1f=1.0878e-5,kiR1r=0.8580000000000001,Kmgneslow=501095.0,knfpBR1=1.04775e-12,knfpiBr=73.44,knfpiR1r=0.10266,knfpSOS=4.8215999999999994e-5,kpERK=7.366e-6,kpMEK=0.00018285,kpR1=10076.0,kR1f=1.1584999999999998e-5,kR1r=585.66,kRgneslow=33.6375,kRhydro=0.47425000000000006,kSoff=69.324,kSon=258.945,kSOSf=0.00025116,kSOSr=13.2745
kBf=4447.7,kBr=0.027679999999999996,kcatE=45.95399999999999,kdEf=2.49645,kdEr=129.2,kdp=515.41,kdpERK=1.63995,kdpMEK=4.036900000000001,kdpR1=206.53500000000003,kdpSOS=0.054791000000000006,kdR1f=6.678750000000001,kdR1r=94.32,kEf=81250.0,kEr=203.04,kfpBr=22.344000000000005,kfpR1r=0.10712,kG2f=3.8142,kG2r=10323.0,kG2SOSf=2.57705,kG2SOSr=318.06,kiBf=8.927000000000001e-13,kiBr=15.21,kiR1f=1.3394e-5,kiR1r=1.0890000000000002,Kmgneslow=169435.0,knfpBR1=2.2479e-12,knfpiBr=19.38,knfpiR1r=0.17139,knfpSOS=6.3504e-5,kpERK=6.263999999999999e-6,kpMEK=0.0015581999999999998,kpR1=13511.0,kR1f=0.00024493999999999997,kR1r=113.5,kRgneslow=50.3125,kRhydro=1.63955,kSoff=37.496,kSon=220.74,kSOSf=0.00027876,kSOSr=4.584
kBf=2505.35,kBr=0.05103499999999999,kcatE=44.955,kdEf=8.321499999999999,kdEr=122.36,kdp=80.28999999999999,kdpERK=0.81055,kdpMEK=1.4819,kdpR1=196.70000000000002,kdpSOS=0.016408,kdR1f=2.6325000000000003,kdR1r=16.375,kEf=98125.0,kEr=82.08,kfpBr=40.69800000000001,kfpR1r=0.28016,kG2f=3.6838000000000006,kG2r=24475.5,kG2SOSf=1.5410499999999998,kG2SOSr=129.57999999999998,kiBf=1.0349e-12,kiBr=1.0140000000000002,kiR1f=9.398e-6,kiR1r=1.8810000000000002,Kmgneslow=129780.0,knfpBR1=2.5717500000000002e-12,knfpiBr=52.53,knfpiR1r=0.16007999999999997,knfpSOS=6.4288e-5,kpERK=2.0879999999999997e-6,kpMEK=0.00083475,kpR1=2290.0,kR1f=5.792499999999999e-5,kR1r=558.42,kRgneslow=19.2625,kRhydro=0.8943,kSoff=82.84,kSon=260.36,kSOSf=0.00013247999999999998,kSOSr=2.1965
kBf=2646.1,kBr=0.005189999999999999,kcatE=15.651,kdEf=6.3635,kdEr=39.519999999999996,kdp=152.81,kdpERK=2.50705,kdpMEK=4.8545,kdpR1=46.365,kdpSOS=0.036039,kdR1f=2.8275,kdR1r=68.12,kEf=54375.0,kEr=193.32,kfpBr=42.294,kfpR1r=0.26574000000000003,kG2f=6.2266,kG2r=12820.5,kG2SOSf=1.7093999999999998,kG2SOSr=220.875,kiBf=1.4536000000000002e-12,kiBr=2.1060000000000003,kiR1f=6.216000000000001e-6,kiR1r=0.6490000000000001,Kmgneslow=479465.0,knfpBR1=3.44805e-12,knfpiBr=49.980000000000004,knfpiR1r=0.06699000000000001,knfpSOS=5.5271999999999995e-5,kpERK=7.656e-6,kpMEK=0.0010573499999999999,kpR1=7442.5,kR1f=0.00019197999999999996,kR1r=862.6,kRgneslow=20.124999999999996,kRhydro=1.897,kSoff=54.50000000000001,kSon=261.775,kSOSf=0.00045264000000000003,kSOSr=4.202
kBf=2026.8,kBr=0.14532,kcatE=56.943,kdEf=1.4685000000000001,kdEr=144.4,kdp=183.89000000000001,kdpERK=1.4326,kdpMEK=0.5876500000000001,kdpR1=57.605000000000004,kdpSOS=0.031937,kdR1f=5.80125,kdR1r=103.49,kEf=8750.0,kEr=165.24,kfpBr=45.22000000000001,kfpR1r=0.37286,kG2f=1.9234,kG2r=22144.5,kG2SOSf=1.4245,kG2SOSr=385.795,kiBf=4.345e-13,kiBr=10.92,kiR1f=2.0720000000000002e-6,kiR1r=1.1000000000000003,Kmgneslow=645295.0,knfpBR1=1.92405e-12,knfpiBr=57.12000000000001,knfpiR1r=0.07221,knfpSOS=4.0768e-5,kpERK=1.1078e-5,kpMEK=0.00046904999999999994,kpR1=16717.0,kR1f=0.00024659499999999995,kR1r=199.76000000000002,kRgneslow=48.0125,kRhydro=2.1815499999999997,kSoff=50.576,kSon=77.825,kSOSf=6.072000000000001e-5,kSOSr=6.016499999999999
kBf=5348.5,kBr=0.10725999999999998,kcatE=16.316999999999997,kdEf=7.3425,kdEr=82.08,kdp=227.92000000000002,kdpERK=2.92175,kdpMEK=2.8616,kdpR1=29.504999999999995,kdpSOS=0.031351,kdR1f=4.33875,kdR1r=84.495,kEf=89375.0,kEr=7.5600000000000005,kfpBr=51.604,kfpR1r=0.22660000000000002,kG2f=6.0962000000000005,kG2r=2997.0,kG2SOSf=1.8389,kG2SOSr=285.665,kiBf=7.268000000000001e-13,kiBr=9.672,kiR1f=4.8100000000000005e-6,kiR1r=1.7380000000000004,Kmgneslow=39655.0,knfpBR1=2.9337000000000003e-12,knfpiBr=28.56,knfpiR1r=0.12702,knfpSOS=4.2727999999999995e-5,kpERK=6.032e-6,kpMEK=0.0005167500000000001,kpR1=6412.0,kR1f=0.00014398499999999998,kR1r=517.56,kRgneslow=35.65,kRhydro=1.9918500000000001,kSoff=71.068,kSon=79.24,kSOSf=0.00035880000000000005,kSOSr=4.488499999999999
kBf=703.7499999999999,kBr=0.018164999999999997,kcatE=48.617999999999995,kdEf=2.69225,kdEr=46.36,kdp=75.11000000000001,kdpERK=1.18755,kdpMEK=2.6827500000000004,kdpR1=157.36,kdpSOS=0.045708,kdR1f=1.2187499999999998,kdR1r=88.42500000000001,kEf=62500.0,kEr=99.35999999999999,kfpBr=34.048,kfpR1r=0.15862,kG2f=2.3472,kG2r=9823.5,kG2SOSf=1.8906999999999998,kG2SOSr=368.125,kiBf=1.5563000000000001e-12,kiBr=11.154000000000002,kiR1f=1.2432e-5,kiR1r=0.31900000000000006,Kmgneslow=93730.0,knfpBR1=2.80035e-12,knfpiBr=57.63000000000001,knfpiR1r=0.09047999999999999,knfpSOS=4.1944e-5,kpERK=1.0497999999999998e-5,kpMEK=0.00065985,kpR1=2748.0,kR1f=0.00031610499999999996,kR1r=358.65999999999997,kRgneslow=21.274999999999995,kRhydro=2.5202999999999998,kSoff=8.72,kSon=271.68,kSOSf=0.00047472000000000004,kSOSr=11.841999999999999
kBf=2730.55,kBr=0.06487499999999999,kcatE=29.637,kdEf=6.51035,kdEr=136.8,kdp=207.20000000000005,kdpERK=2.8275,kdpMEK=3.066,kdpR1=272.57,kdpSOS=0.039848,kdR1f=2.7787500000000005,kdR1r=96.94,kEf=68750.0,kEr=81.0,kfpBr=52.13600000000001,kfpR1r=0.12978000000000003,kG2f=1.0106000000000002,kG2r=27805.5,kG2SOSf=1.5799,kG2SOSr=544.825,kiBf=1.1613000000000001e-12,kiBr=9.438,kiR1f=1.4726e-5,kiR1r=0.24200000000000005,Kmgneslow=457835.0,knfpBR1=2.667e-13,knfpiBr=72.92999999999999,knfpiR1r=0.058289999999999995,knfpSOS=5.3311999999999994e-5,kpERK=1.3919999999999998e-6,kpMEK=0.0005088,kpR1=10419.5,kR1f=0.00023004499999999996,kR1r=81.72,kRgneslow=27.024999999999995,kRhydro=1.28725,kSoff=76.736,kSon=267.435,kSOSf=0.00030912,kSOSr=11.746500000000001
